City_Name,Country,Population,Population Density,Working Age Population ,Youth Dependency Ratio,Unemployment Rate,GDP per Capita,Days of very strong heat stress,Main Spoken Languages,Average Monthly Salary,Average Rent Price,Average Cost of Living,Last Data Update
Vienna,Austria,2983513.0,310.0,2018818.0,20.1,10.2,55770.0,3.0,"German, English, Turkish, Serbian",2500.0,1050.0,2061.0,2024-06-15
Salzburg,Austria,375489.0,243.0,250472.0,20.3,3.0,66689.0,0.0,German,3200.0,1100.0,2186.0,2023-11-03
Brussels,Belgium,3284548.0,681.0,2137425.0,27.5,10.7,62500.0,3.0,"French, Dutch, Arabic, English",3350.0,1200.0,1900.0,2023-04-22
Antwerp,Belgium,1139663.0,928.0,723396.0,27.7,6.2,57595.0,3.0,"Dutch, French, Arabic",2609.0,900.0,1953.0,2024-08-09
Gent,Belgium,645813.0,552.0,417832.0,24.8,5.8999996,53311.0,2.0,"Dutch, French",2400.0,827.0,1200.0,2023-07-17
Bruges,Belgium,119765.0,840.0,74600.0,25.63,5.6,63083.0,0.0,"Dutch, French",2700.0,1250.0,1708.0,2023-10-25
Sofia,Bulgaria,1553106.0,272.0,1043522.0,21.4,2.3,43563.0,0.0,"Bulgarian, English, Turkish",1300.0,450.0,1100.0,2024-02-11
Dobrich,Bulgaria,73895.0,640.0,46359.0,22.85,4.6,10089.92,0.0,"Bulgarian, Turkish",1200.0,400.0,1100.0,2023-12-30
Zurich,Switzerland,1384728.0,1058.0,939270.0,22.3,4.7,80431.0,4.0,"German, English",6636.0,3190.0,4862.0,2023-05-06
Geneva,Switzerland,597269.0,1112.0,404313.0,23.8,9.9,83747.0,1.0,"French, English",5794.0,2818.0,4263.0,2024-09-28
Basel,Switzerland,550152.0,793.0,358020.0,21.5,5.3,94826.0,5.0,"German, English, French",6366.0,2500.0,4239.0,2023-01-19
Lefkosia,Cyprus,356400.0,130.0,237000.0,23.06,9.6,34907.0,45.0,"Greek, Turkish, English",1486.0,700.0,1350.0,2024-04-08
Lemesos,Cyprus,262238.0,190.0,173906.0,23.06,11.2,34907.0,0.0,"Greek, English, Russian",2500.0,1400.0,2300.0,2023-08-14
Prague,Czechia,2231212.0,388.0,1445800.0,26.2,1.4,64996.0,1.0,"Czech, English",1860.0,100.0,1590.0,2024-12-05
Ostrava,Czechia,711860.0,499.0,464578.0,23.0,3.7,30105.0,0.0,Czech,1520.0,500.0,1100.0,2023-09-21
Berlin,Germany,5303922.0,304.0,3481212.0,21.3,4.7,46548.0,3.0,"German, Turkish, Arabic, English",3200.0,1220.0,2200.0,2023-06-29
Hamburg,Germany,3315036.0,461.0,2181857.0,21.5,3.2,61058.0,0.0,"German, English, Turkish",3500.0,1100.0,2100.0,2024-07-10
Munich,Germany,2907752.0,529.0,1955041.0,21.1,2.1,83965.0,1.0,"German, English",3540.0,1500.0,2550.0,2023-03-16
Cologne,Germany,2002550.0,1233.0,1335299.0,20.8,3.9,60310.0,3.0,"German, English, Turkish",3200.0,1030.0,2000.0,2024-11-23
Frankfurt am Main,Germany,2710501.0,631.0,1791435.0,22.0,3.2,69372.0,6.0,"German, English",3800.0,1300.0,2350.0,2023-02-04
Stuttgart,Germany,2787449.0,763.0,1843613.0,21.2,2.5,67644.0,3.0,"German, Turkish",3300.0,1300.0,2300.0,2024-05-19
Leipzig,Germany,1043613.0,263.0,662617.0,21.4,4.3,41097.0,3.0,German,2800.0,800.0,1600.0,2023-07-30
Dresden,Germany,1343213.0,231.0,818095.0,23.0,3.8,39767.0,0.0,German,3050.0,800.0,1530.0,2023-08-01
Dusseldorf,Germany,1554077.0,1295.0,1024128.0,21.4,3.3,71238.0,3.0,German,3200.0,1100.0,2050.0,2024-01-15
Hanover,Germany,1316467.0,444.0,854349.0,21.0,4.0,54827.0,2.0,German,2800.0,900.0,1800.0,2023-10-07
Copenhagen,Denmark,1933919.0,598.0,1280970.0,25.4,6.5,63540.0,0.0,"Danish, English",4200.0,2100.0,2750.0,2024-03-26
Odense,Denmark,382711.0,160.0,245174.0,24.7,9.5,40304.0,0.0,Danish,3400.0,1000.0,2100.0,2023-12-02
Madrid,Spain,6882461.0,873.0,4617753.0,23.0,10.8,51020.0,18.0,Spanish,2271.0,1100.0,1589.0,2023-05-14
Barcelona,Spain,5034925.0,1918.0,3331345.0,22.6,11.0,45016.0,0.0,"Spanish, Catalan",2094.0,1450.0,1630.0,2024-10-18
Valencia,Spain,1748142.0,722.0,1162828.0,22.6,13.7,33570.0,5.0,Spanish;Valencian,2400.0,1190.0,1300.0,2023-06-04
Seville,Spain,1549641.0,330.0,1037225.0,25.0,21.6,30004.0,53.0,Spanish,2300.0,650.0,1150.0,2024-09-01
Malaga,Spain,869096.0,571.0,585608.0,23.5,17.7,27694.0,0.0,"Spanish, English",2200.0,1312.0,1400.0,2023-11-27
Tallinn,Estonia,390860.0,2469.0,253977.0,26.9,3.5,49329.0,0.0,"Estonian, Russian, English",1700.0,700.0,1600.0,2023-08-23
Helsinki,Finland,1507140.0,322.0,1004835.0,25.1,6.6,59502.0,0.0,"Finnish, Swedish, English",3900.0,1050.0,2050.0,2023-09-12
Tampere,Finland,444370.0,65.0,283876.0,25.6,6.6,41954.0,0.0,Finnish,3500.0,850.0,1600.0,2024-04-29
Paris,France,2110000.0,20983.0,1336000.0,27.31,8.1,65630.0,3.0,"French,   Arabic, English",3300.0,1450.0,2400.0,2024-08-22
Lyon,France,520774.0,10909.0,365824.0,27.31,6.9,46226.0,11.0,French,2300.0,1200.0,1800.0,2023-03-31
Toulouse,France,511684.0,4300.0,401425.0,27.31,8.5,46226.0,14.0,French,2600.0,800.0,1600.0,2024-02-20
London,United Kingdom,12396541.0,1777.0,8274794.0,29.1,6.1,69863.0,0.0,"English, Urdu, Bengali, Polish",2750.0,1900.0,2800.0,2023-04-09
Leeds,United Kingdom,2641062.0,517.0,1677791.0,30.0,3.5,37990.0,0.0,"English, Urdu",2300.0,1000.0,2000.0,2024-11-03
Glasgow,United Kingdom,1845020.0,548.0,1229657.0,24.2,4.8,39666.0,0.0,"English, Scots",2300.0,1050.0,1950.0,2023-05-28
Liverpool,United Kingdom,1544216.0,1560.0,983056.0,26.8,7.5,33749.0,0.0,English,2250.0,950.0,1800.0,2024-01-23
Edinburgh,United Kingdom,907580.0,527.0,614959.0,23.4,3.7,54002.0,0.0,"English, Scots Gaelic",2500.0,1010.0,2050.0,2023-08-15
Athens,Greece,3530371.0,1829.0,2287174.0,22.0,17.2,38580.0,17.0,"Greek, English",1050.0,600.0,1200.0,2024-07-16
Thessaloniki,Greece,1050568.0,381.0,684564.0,22.2,19.9,23940.0,10.0,Greek,1000.0,550.0,1100.0,2023-12-21
Zagreb,Croatia,1217131.0,240.0,800501.0,22.7,2.7,38664.0,4.0,Croatian,1570.0,700.0,1330.0,2023-10-14
Split,Croatia,354264.0,120.0,230745.0,22.9,6.5,21560.0,1.0,Croatian,1500.0,600.0,1250.0,2023-09-30
Budapest,Hungary,2997506.0,469.0,1980550.0,22.4,2.4,49130.0,0.0,"Hungarian, English",1100.0,650.0,1080.0,2024-06-06
Miskolc,Hungary,283319.0,172.0,186102.0,24.1,4.4,21805.0,3.0,Hungarian,1000.0,500.0,900.0,2023-11-18
Debrecen,Hungary,328409.0,163.0,219758.0,22.4,4.5,22648.0,7.0,Hungarian,1000.0,450.0,950.0,2024-08-31
Dublin,Ireland,1971242.0,283.0,1327170.0,29.8,4.6,101483.0,0.0,"English, Irish Gaelic",2900.0,1600.0,2700.0,2023-07-22
Cork,Ireland,439101.0,134.0,284391.0,31.2,4.7,146094.0,0.0,"English, Irish Gaelic",2700.0,1300.0,2600.0,2024-10-26
Rome,Italy,4335555.0,704.0,2818910.0,20.8,9.3,50088.0,7.0,Italian,1600.0,1100.0,1500.0,2024-01-09
Milan,Italy,4965808.0,1595.0,3167298.0,21.4,6.1,61133.0,17.0,Italian,1700.0,1400.0,1700.0,2023-06-12
Naples,Italy,3362207.0,2615.0,2258674.0,23.0,23.0,25952.0,1.0,Italian,1200.0,800.0,1000.0,2024-09-19
Turin,Italy,1733674.0,1020.0,1077727.0,20.3,8.5,43500.0,2.0,Italian,1300.0,700.0,950.0,2023-08-27
Florence,Italy,794659.0,429.0,491652.0,20.2,6.2,55283.0,9.0,Italian,1300.0,1050.0,1300.0,2024-04-13
Venice,Italy,557748.0,852.0,347781.0,19.3,6.1,39681.0,6.0,Italian,1400.0,1150.0,1500.0,2023-03-23
Luxembourg,Luxembourg,610825.0,236.0,424824.0,23.1,5.6,112143.0,2.0,"Luxembourgish, French, German, English",4200.0,2100.0,3300.0,2024-11-29
Riga,Latvia,930245.0,152.0,594604.0,25.6,5.3,39537.0,0.0,"Latvian, Russian",1300.0,600.0,1250.0,2023-12-07
Malta,Malta,456490.0,1845.0,309610.0,20.2,3.7,44781.0,0.0,"Maltese, English",1450.0,1000.0,1400.0,2024-02-28
The Hague,Netherlands,1103137.0,2646.0,733794.0,25.1,4.2,54976.0,1.0,"Dutch, English",3500.0,1250.0,2000.0,2023-09-17
Amsterdam,Netherlands,2862590.0,864.0,1913803.0,24.0,3.3,73065.0,2.0,"Dutch, English",3750.0,1150.0,2550.0,2024-07-21
Rotterdam,Netherlands,1860582.0,864.0,1213524.0,25.2,4.1,54780.0,2.0,"Dutch, English",3100.0,1350.0,2100.0,2023-10-11
Utrecht,Netherlands,898712.0,924.0,592246.0,26.2,3.0,67062.0,3.0,"Dutch, English",3200.0,1300.0,2000.0,2024-05-26
Eindhoven,Netherlands,760059.0,551.0,495081.0,23.2,3.3,62660.0,3.0,"Dutch, English",3100.0,1100.0,1900.0,2023-06-20
Oslo,Norway,1398715.0,189.0,947183.0,26.4,5.4,67128.0,0.0,"Norwegian, English",3600.0,1350.0,2200.0,2024-12-12
Bergen,Norway,419854.0,126.0,278139.0,27.2,4.6,51095.0,0.0,"Norwegian, English",3500.0,1200.0,2100.0,2023-04-30
Stavanger,Norway,339690.0,122.0,225096.0,30.4,1.6,58137.0,0.0,"Norwegian, English",3500.0,1100.0,2000.0,2024-03-15
Warsaw,Poland,3181548.0,370.0,2068260.0,25.7,2.2,67994.0,1.0,"Polish, English",1500.0,950.0,1450.0,2023-11-13
Lodz,Poland,907836.0,536.0,587774.0,20.4,3.7,37618.0,2.0,Polish,1200.0,800.0,1200.0,2024-08-05
Cracow,Poland,1410424.0,376.0,938323.0,23.7,2.9,40721.0,0.0,"Polish, English",1400.0,1000.0,1500.0,2023-07-11
Lisbon,Portugal,3008000.0,695.0,1871604.0,25.4,7.4,42363.0,1.0,"Portuguese, English",1220.0,1050.0,1600.0,2024-10-04
Porto,Portugal,1280190.0,1343.0,840851.0,20.5,7.0,31339.0,0.0,Portuguese,1100.0,900.0,1400.0,2023-05-23
Braga,Portugal,247719.0,501.0,169611.0,20.3,7.0,28783.0,1.0,Portuguese,1000.0,700.0,1100.0,2024-01-31
Coimbra,Portugal,264656.0,162.0,166311.0,19.5,5.3,30407.0,2.0,Portuguese,1000.0,650.0,1050.0,2024-06-19
Giroc,Romania,351851.0,1500.0,244969.0,21.2,3.4,34708.0,7.0,Romanian,900.0,450.0,900.0,2023-08-18
