City,Country,Population Density,Population,Working Age Population,Youth Dependency Ratio,Unemployment Rate,GDP per Capita,Days of Very Strong Heat Stress,Main Spoken Languages,Average Monthly Salary,Average Rent Price,Average Cost of Living,Last Data Update,Latitude,Longitude,Wikipedia_URL
Vienna,Austria,310.0,2983513,2018818.0,20.1,10.2,55770.0,3,"German, English, Turkish, Serbian",2500,1050,2061,2024-06-15,48.20833,16.3725,https://en.wikipedia.org/wiki/Vienna
Salzburg,Austria,243.0,375489,250472.0,20.3,3.0,66689.0,0,German,3200,1100,2186,2023-11-03,47.8,13.045,https://en.wikipedia.org/wiki/Salzburg
Brussels,Belgium,681.0,3284548,2137425.0,27.5,10.7,62500.0,3,"French, Dutch, Arabic, English",3350,1200,1900,2023-04-22,50.84667,4.3525,https://en.wikipedia.org/wiki/Brussels
Antwerp,Belgium,928.0,1139663,723396.0,27.7,6.2,57595.0,3,"Dutch, French, Arabic",2609,900,1953,2024-08-09,51.21778,4.40028,https://en.wikipedia.org/wiki/Antwerp
Gent,Belgium,552.0,645813,417832.0,24.8,6.2,53311.0,2,"Dutch, French",2400,827,1200,2023-07-17,51.05361,3.72528,"https://en.wikipedia.org/wiki/Gent,_Belgium"
Bruges,Belgium,840.0,119765,74600.0,25.63,5.6,63083.0,0,"Dutch, French",2700,1250,1708,2023-10-25,51.20889,3.22417,https://en.wikipedia.org/wiki/Bruges
Sofia,Bulgaria,272.0,1553106,1043522.0,21.4,2.3,43563.0,0,"Bulgarian, English, Turkish",1300,450,1100,2024-02-11,42.7,23.33,https://en.wikipedia.org/wiki/Sofia
Dobrich,Bulgaria,640.0,73895,46359.0,22.85,4.6,10089.92,0,"Bulgarian, Turkish",1200,400,1100,2023-12-30,43.567,27.833,https://en.wikipedia.org/wiki/Dobrich
Zurich,Switzerland,1058.0,1384728,939270.0,22.3,4.7,80431.0,4,"German, English",6636,3190,4862,2023-05-06,47.37444,8.54111,https://en.wikipedia.org/wiki/Zurich
Geneva,Switzerland,1112.0,597269,404313.0,23.8,9.9,83747.0,1,"French, English",5794,2818,4263,2024-09-28,46.20167,6.14694,https://en.wikipedia.org/wiki/Geneva
Basel,Switzerland,793.0,550152,358020.0,21.5,5.3,94826.0,5,"German, English, French",6366,2500,4239,2023-01-19,47.55472,7.59056,https://en.wikipedia.org/wiki/Basel
Lefkosia,Cyprus,130.0,356400,237000.0,23.06,9.6,34907.0,45,"Greek, Turkish, English",1486,700,1350,2024-04-08,35.1725,33.365,https://en.wikipedia.org/wiki/Lefkosia
Lemesos,Cyprus,190.0,262238,173906.0,23.06,11.2,34907.0,0,"Greek, English, Russian",2500,1400,2300,2023-08-14,34.67472,33.04417,https://en.wikipedia.org/wiki/Lemesos
Prague,Czechia,388.0,2231212,1445800.0,26.2,1.4,64996.0,1,"Czech, English",1860,100,1590,2024-12-05,50.0875,14.42139,https://en.wikipedia.org/wiki/Prague
Ostrava,Czechia,499.0,711860,464578.0,23.0,3.7,30105.0,0,Czech,1520,500,1100,2023-09-21,49.83556,18.2925,https://en.wikipedia.org/wiki/Ostrava
Berlin,Germany,304.0,5303922,3481212.0,21.3,4.7,46548.0,3,"German, Turkish, Arabic, English",3200,1220,2200,2023-06-29,52.52,13.405,https://en.wikipedia.org/wiki/Berlin
Hamburg,Germany,461.0,3315036,2181857.0,21.5,3.2,61058.0,0,"German, English, Turkish",3500,1100,2100,2024-07-10,53.55,10.0,https://en.wikipedia.org/wiki/Hamburg
Munich,Germany,529.0,2907752,1955041.0,21.1,2.1,83965.0,1,"German, English",3540,1500,2550,2023-03-16,48.1375,11.575,https://en.wikipedia.org/wiki/Munich
Cologne,Germany,1233.0,2002550,1335299.0,20.8,3.9,60310.0,3,"German, English, Turkish",3200,1030,2000,2024-11-23,50.93639,6.95278,https://en.wikipedia.org/wiki/Cologne
FrankfurtamMain,Germany,631.0,2710501,1791435.0,22.0,3.2,69372.0,6,"German, English",3800,1300,2350,2023-02-04,,,
Stuttgart,Germany,763.0,2787449,1843613.0,21.2,2.5,67644.0,3,"German, Turkish",3300,1300,2300,2024-05-19,48.7775,9.18,https://en.wikipedia.org/wiki/Stuttgart
Leipzig,Germany,263.0,1043613,662617.0,21.4,4.3,41097.0,3,German,2800,800,1600,2023-07-30,51.34,12.375,https://en.wikipedia.org/wiki/Leipzig
Dresden,Germany,231.0,1343213,818095.0,23.0,3.8,39767.0,0,German,3050,800,1530,2023-08-01,51.05,13.74,https://en.wikipedia.org/wiki/Dresden
Dusseldorf,Germany,1295.0,1554077,1024128.0,21.4,3.3,71238.0,3,German,3200,1100,2050,2024-01-15,51.22556,6.77667,https://en.wikipedia.org/wiki/Dusseldorf
